 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Undefined variable: data in F:\xampp\htdocs\sslmp\histroy.php on 148 
 [NEW] Error: [8] Array, Undefined property: profile::$pro in F:\xampp\htdocs\sslmp\profile.php on 188 
 [NEW] Error: [8] Array, Undefined property: profile::$pro in F:\xampp\htdocs\sslmp\profile.php on 188 
 [NEW] Error: [8] Array, Undefined property: mysqli::$copnnect_error in F:\xampp\htdocs\sslmp\profile.php on 154 
 [NEW] Error: [8] Array, Undefined property: change_profile::$add in F:\xampp\htdocs\sslmp\change_profile.php on 85 
 [NEW] Error: [8] Array, Undefined property: change_profile::$add in F:\xampp\htdocs\sslmp\change_profile.php on 85 
 [NEW] Error: [8] Array, Undefined property: change_profile::$add in F:\xampp\htdocs\sslmp\change_profile.php on 85 
 [NEW] Error: [8] Array, Undefined property: change_profile::$add in F:\xampp\htdocs\sslmp\change_profile.php on 85 
 [NEW] Error: [8] Array, Undefined property: change_profile::$add in F:\xampp\htdocs\sslmp\change_profile.php on 85 
 [NEW] Error: [8] Array, Undefined property: change_profile::$add in F:\xampp\htdocs\sslmp\change_profile.php on 85 
 [NEW] Error: [256] Array, more same ids found during logout in F:\xampp\htdocs\sslmp\logout.php on 74 
 [NEW] Error: [256] Array, more same ids found during logout in F:\xampp\htdocs\sslmp\logout.php on 74 
 [NEW] Error: [256] Array, more same ids found during logout in F:\xampp\htdocs\sslmp\logout.php on 74 
 [NEW] Error: [256] Array, more same ids found during logout in F:\xampp\htdocs\sslmp\logout.php on 74 
 [NEW] Error: [256] Array, more same ids found during logout in F:\xampp\htdocs\sslmp\logout.php on 74 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2002): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, Cannot modify header information - headers already sent by (output started at /var/www/html/histroy.php:55) in /var/www/html/histroy.php on 109 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
 [NEW] Error: [2] Array, mysqli::mysqli() [<a href='mysqli.mysqli'>mysqli.mysqli</a>]: (HY000/2005): Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 20 
 [NEW] Error: [256] Array, Unknown MySQL server host 'mysql' (110) in /var/www/html/get_products.php on 23 
